# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  72.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11335     0x0020     !    1
       22855     0x0010     !    2
       34420     0x0020     !    3
       46030     0x0010     !    4
       57690     0x0020     !    5
       69400     0x0010     !    6
       81160     0x0020     !    7
       92965     0x0010     !    8
      104825     0x0020     !    9
      116735     0x0010     !   10
      128695     0x0020     !   11
      140710     0x0010     !   12
      152775     0x0020     !   13
      164895     0x0010     !   14
      177070     0x0020     !   15
      189300     0x0010     !   16
      201585     0x0020     !   17
      213930     0x0010     !   18
      226330     0x0020     !   19
      238790     0x0010     !   20
      251310     0x0020     !   21
      263885     0x0010     !   22
      276525     0x0020     !   23
      289230     0x0010     !   24
      301990     0x0020     !   25
      314820     0x0010     !   26
      327715     0x0020     !   27
      340670     0x0010     !   28
      353695     0x0020     !   29
      366790     0x0010     !   30
      379950     0x0020     !   31
      393185     0x0010     !   32
      406485     0x0020     !   33
      419860     0x0010     !   34
      433310     0x0020     !   35
      446835     0x0010     !   36
      460435     0x0020     !   37
      474110     0x0010     !   38
      487865     0x0020     !   39
      501700     0x0010     !   40
      515615     0x0020     !   41
      529615     0x0010     !   42
      543695     0x0020     !   43
      557865     0x0010     !   44
      572120     0x0020     !   45
      586470     0x0010     !   46
      600905     0x0020     !   47
      615430     0x0010     !   48
      630055     0x0020     !   49
      644775     0x0010     !   50
      659590     0x0020     !   51
      674505     0x0010     !   52
      689525     0x0020     !   53
      704650     0x0010     !   54
      719880     0x0020     !   55
      735215     0x0010     !   56
      750665     0x0020     !   57
      766225     0x0010     !   58
      781905     0x0020     !   59
      797705     0x0010     !   60
      813620     0x0020     !   61
      829665     0x0010     !   62
      845835     0x0020     !   63
      862135     0x0010     !   64
      878565     0x0020     !   65
      895140     0x0010     !   66
      911850     0x0020     !   67
      928705     0x0010     !   68
      945705     0x0020     !   69
      962860     0x0010     !   70
      980170     0x0020     !   71
      997635     0x0010     !   72
     1015270     0x0020     !   73
     1033075     0x0010     !   74
     1051050     0x0020     !   75
     1069210     0x0010     !   76
     1087550     0x0020     !   77
     1106085     0x0010     !   78
     1124815     0x0020     !   79
     1143745     0x0010     !   80
     1162890     0x0020     !   81
     1182250     0x0010     !   82
     1201835     0x0020     !   83
     1221650     0x0010     !   84
     1241710     0x0020     !   85
     1262020     0x0010     !   86
     1282585     0x0020     !   87
     1303425     0x0010     !   88
     1324545     0x0020     !   89
     1345960     0x0010     !   90
     1367675     0x0020     !   91
     1389710     0x0010     !   92
     1412080     0x0020     !   93
     1434800     0x0010     !   94
     1457885     0x0020     !   95
     1481350     0x0010     !   96
     1505220     0x0020     !   97
     1529515     0x0010     !   98
     1554260     0x0020     !   99
     1579480     0x0010     !  100
     1605200     0x0020     !  101
     1631460     0x0010     !  102
     1658285     0x0020     !  103
     1685715     0x0010     !  104
     1713800     0x0020     !  105
     1742580     0x0010     !  106
     1772120     0x0020     !  107
     1802475     0x0010     !  108
     1833715     0x0020     !  109
     1865930     0x0010     !  110
     1899215     0x0020     !  111
     1933685     0x0010     !  112
     1969470     0x0020     !  113
     2006740     0x0010     !  114
     2045690     0x0020     !  115
     2086580     0x0010     !  116
     2129725     0x0020     !  117
     2175545     0x0010     !  118
     2224615     0x0020     !  119
     2277735     0x0010     !  120
     2336125     0x0020     !  121
     2401755     0x0010     !  122
     2478265     0x0000     !  123
     2591120     0x0000     !  124
#
#
# vx_i: 480.00 vx_f:  62.47 stages:123 phase:  72.00 mass:  17.00
