# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  54.10 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11505     0x0020     !    1
       24670     0x0010     !    2
       37885     0x0020     !    3
       51160     0x0010     !    4
       64485     0x0020     !    5
       77870     0x0010     !    6
       91310     0x0020     !    7
      104805     0x0010     !    8
      118360     0x0020     !    9
      131975     0x0010     !   10
      145650     0x0020     !   11
      159385     0x0010     !   12
      173185     0x0020     !   13
      187040     0x0010     !   14
      200965     0x0020     !   15
      214950     0x0010     !   16
      229000     0x0020     !   17
      243115     0x0010     !   18
      257300     0x0020     !   19
      271550     0x0010     !   20
      285870     0x0020     !   21
      300260     0x0010     !   22
      314720     0x0020     !   23
      329255     0x0010     !   24
      343860     0x0020     !   25
      358535     0x0010     !   26
      373290     0x0020     !   27
      388120     0x0010     !   28
      403025     0x0020     !   29
      418015     0x0010     !   30
      433080     0x0020     !   31
      448225     0x0010     !   32
      463455     0x0020     !   33
      478770     0x0010     !   34
      494170     0x0020     !   35
      509655     0x0010     !   36
      525230     0x0020     !   37
      540890     0x0010     !   38
      556645     0x0020     !   39
      572495     0x0010     !   40
      588435     0x0020     !   41
      604475     0x0010     !   42
      620610     0x0020     !   43
      636850     0x0010     !   44
      653185     0x0020     !   45
      669630     0x0010     !   46
      686175     0x0020     !   47
      702830     0x0010     !   48
      719600     0x0020     !   49
      736475     0x0010     !   50
      753465     0x0020     !   51
      770575     0x0010     !   52
      787805     0x0020     !   53
      805155     0x0010     !   54
      822630     0x0020     !   55
      840230     0x0010     !   56
      857960     0x0020     !   57
      875825     0x0010     !   58
      893825     0x0020     !   59
      911960     0x0010     !   60
      930240     0x0020     !   61
      948670     0x0010     !   62
      967245     0x0020     !   63
      985975     0x0010     !   64
     1004860     0x0020     !   65
     1023905     0x0010     !   66
     1043115     0x0020     !   67
     1062495     0x0010     !   68
     1082050     0x0020     !   69
     1101780     0x0010     !   70
     1121695     0x0020     !   71
     1141800     0x0010     !   72
     1162100     0x0020     !   73
     1182600     0x0010     !   74
     1203305     0x0020     !   75
     1224220     0x0010     !   76
     1245355     0x0020     !   77
     1266720     0x0010     !   78
     1288315     0x0020     !   79
     1310150     0x0010     !   80
     1332235     0x0020     !   81
     1354580     0x0010     !   82
     1377190     0x0020     !   83
     1400080     0x0010     !   84
     1423260     0x0020     !   85
     1446735     0x0010     !   86
     1470520     0x0020     !   87
     1494630     0x0010     !   88
     1519080     0x0020     !   89
     1543875     0x0010     !   90
     1569045     0x0020     !   91
     1594595     0x0010     !   92
     1620545     0x0020     !   93
     1646920     0x0010     !   94
     1673740     0x0020     !   95
     1701020     0x0010     !   96
     1728795     0x0020     !   97
     1757090     0x0010     !   98
     1785935     0x0020     !   99
     1815360     0x0010     !  100
     1845405     0x0020     !  101
     1876110     0x0010     !  102
     1907520     0x0020     !  103
     1939685     0x0010     !  104
     1972665     0x0020     !  105
     2006525     0x0010     !  106
     2041340     0x0020     !  107
     2077190     0x0010     !  108
     2114180     0x0020     !  109
     2152425     0x0010     !  110
     2192055     0x0020     !  111
     2233245     0x0010     !  112
     2276180     0x0020     !  113
     2321115     0x0010     !  114
     2368355     0x0020     !  115
     2418295     0x0010     !  116
     2471460     0x0020     !  117
     2528570     0x0010     !  118
     2590655     0x0020     !  119
     2659310     0x0010     !  120
     2737205     0x0020     !  121
     2829555     0x0010     !  122
     2950040     0x0000     !  123
     3185210     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  32.30 stages:123 phase:  54.10 mass:  17.00
