# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  73.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11400     0x0020     !    1
       22920     0x0010     !    2
       34485     0x0020     !    3
       46100     0x0010     !    4
       57760     0x0020     !    5
       69475     0x0010     !    6
       81235     0x0020     !    7
       93045     0x0010     !    8
      104910     0x0020     !    9
      116820     0x0010     !   10
      128790     0x0020     !   11
      140805     0x0010     !   12
      152880     0x0020     !   13
      165010     0x0010     !   14
      177190     0x0020     !   15
      189430     0x0010     !   16
      201725     0x0020     !   17
      214080     0x0010     !   18
      226490     0x0020     !   19
      238960     0x0010     !   20
      251490     0x0020     !   21
      264080     0x0010     !   22
      276735     0x0020     !   23
      289450     0x0010     !   24
      302230     0x0020     !   25
      315075     0x0010     !   26
      327985     0x0020     !   27
      340960     0x0010     !   28
      354005     0x0020     !   29
      367115     0x0010     !   30
      380300     0x0020     !   31
      393555     0x0010     !   32
      406880     0x0020     !   33
      420280     0x0010     !   34
      433750     0x0020     !   35
      447300     0x0010     !   36
      460930     0x0020     !   37
      474635     0x0010     !   38
      488420     0x0020     !   39
      502285     0x0010     !   40
      516230     0x0020     !   41
      530265     0x0010     !   42
      544385     0x0020     !   43
      558590     0x0010     !   44
      572885     0x0020     !   45
      587270     0x0010     !   46
      601745     0x0020     !   47
      616320     0x0010     !   48
      630985     0x0020     !   49
      645755     0x0010     !   50
      660620     0x0020     !   51
      675585     0x0010     !   52
      690660     0x0020     !   53
      705835     0x0010     !   54
      721125     0x0020     !   55
      736520     0x0010     !   56
      752030     0x0020     !   57
      767660     0x0010     !   58
      783405     0x0020     !   59
      799275     0x0010     !   60
      815265     0x0020     !   61
      831385     0x0010     !   62
      847630     0x0020     !   63
      864015     0x0010     !   64
      880535     0x0020     !   65
      897190     0x0010     !   66
      913995     0x0020     !   67
      930945     0x0010     !   68
      948050     0x0020     !   69
      965310     0x0010     !   70
      982725     0x0020     !   71
     1000310     0x0010     !   72
     1018065     0x0020     !   73
     1035990     0x0010     !   74
     1054100     0x0020     !   75
     1072390     0x0010     !   76
     1090875     0x0020     !   77
     1109555     0x0010     !   78
     1128440     0x0020     !   79
     1147535     0x0010     !   80
     1166845     0x0020     !   81
     1186385     0x0010     !   82
     1206155     0x0020     !   83
     1226165     0x0010     !   84
     1246430     0x0020     !   85
     1266955     0x0010     !   86
     1287750     0x0020     !   87
     1308830     0x0010     !   88
     1330200     0x0020     !   89
     1351875     0x0010     !   90
     1373875     0x0020     !   91
     1396205     0x0010     !   92
     1418890     0x0020     !   93
     1441940     0x0010     !   94
     1465375     0x0020     !   95
     1489215     0x0010     !   96
     1513485     0x0020     !   97
     1538205     0x0010     !   98
     1563405     0x0020     !   99
     1589110     0x0010     !  100
     1615355     0x0020     !  101
     1642170     0x0010     !  102
     1669605     0x0020     !  103
     1697690     0x0010     !  104
     1726485     0x0020     !  105
     1756045     0x0010     !  106
     1786430     0x0020     !  107
     1817715     0x0010     !  108
     1849985     0x0020     !  109
     1883345     0x0010     !  110
     1917905     0x0020     !  111
     1953810     0x0010     !  112
     1991230     0x0020     !  113
     2030370     0x0010     !  114
     2071495     0x0020     !  115
     2114945     0x0010     !  116
     2161160     0x0020     !  117
     2210750     0x0010     !  118
     2264585     0x0020     !  119
     2323985     0x0010     !  120
     2391155     0x0020     !  121
     2470295     0x0010     !  122
     2571925     0x0000     !  123
     2741940     0x0000     !  124
#
#
# vx_i: 480.00 vx_f:  41.29 stages:123 phase:  73.00 mass:  17.00
