# vx_i: 460.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        6990     0x0020     !    1
       18950     0x0010     !    2
       30915     0x0020     !    3
       42875     0x0010     !    4
       54835     0x0020     !    5
       66800     0x0010     !    6
       78760     0x0020     !    7
       90720     0x0010     !    8
      102680     0x0020     !    9
      114645     0x0010     !   10
      126605     0x0020     !   11
      138565     0x0010     !   12
      150525     0x0020     !   13
      162490     0x0010     !   14
      174450     0x0020     !   15
      186410     0x0010     !   16
      198375     0x0020     !   17
      210335     0x0010     !   18
      222295     0x0020     !   19
      234255     0x0010     !   20
      246220     0x0020     !   21
      258180     0x0010     !   22
      270140     0x0020     !   23
      282105     0x0010     !   24
      294065     0x0020     !   25
      306025     0x0010     !   26
      317985     0x0020     !   27
      329950     0x0010     !   28
      341910     0x0020     !   29
      353870     0x0010     !   30
      365830     0x0020     !   31
      377795     0x0010     !   32
      389755     0x0020     !   33
      401715     0x0010     !   34
      413680     0x0020     !   35
      425640     0x0010     !   36
      437600     0x0020     !   37
      449560     0x0010     !   38
      461525     0x0020     !   39
      473485     0x0010     !   40
      485445     0x0020     !   41
      497410     0x0010     !   42
      509370     0x0020     !   43
      521330     0x0010     !   44
      533290     0x0020     !   45
      545255     0x0010     !   46
      557215     0x0020     !   47
      569175     0x0010     !   48
      581135     0x0020     !   49
      593100     0x0010     !   50
      605060     0x0020     !   51
      617020     0x0010     !   52
      628985     0x0020     !   53
      640945     0x0010     !   54
      652905     0x0020     !   55
      664865     0x0010     !   56
      676830     0x0020     !   57
      688790     0x0010     !   58
      700750     0x0020     !   59
      712715     0x0010     !   60
      724675     0x0020     !   61
      736635     0x0010     !   62
      748595     0x0020     !   63
      760560     0x0010     !   64
      772520     0x0020     !   65
      784480     0x0010     !   66
      796440     0x0020     !   67
      808405     0x0010     !   68
      820365     0x0020     !   69
      832325     0x0010     !   70
      844290     0x0020     !   71
      856250     0x0010     !   72
      868210     0x0020     !   73
      880170     0x0010     !   74
      892135     0x0020     !   75
      904095     0x0010     !   76
      916055     0x0020     !   77
      928020     0x0010     !   78
      939980     0x0020     !   79
      951940     0x0010     !   80
      963900     0x0020     !   81
      975865     0x0010     !   82
      987825     0x0020     !   83
      999785     0x0010     !   84
     1011745     0x0020     !   85
     1023710     0x0010     !   86
     1035670     0x0020     !   87
     1047630     0x0010     !   88
     1059595     0x0020     !   89
     1071555     0x0010     !   90
     1083515     0x0020     !   91
     1095475     0x0010     !   92
     1107440     0x0020     !   93
     1119400     0x0010     !   94
     1131360     0x0020     !   95
     1143325     0x0010     !   96
     1155285     0x0020     !   97
     1167245     0x0010     !   98
     1179205     0x0020     !   99
     1191170     0x0010     !  100
     1203130     0x0020     !  101
     1215090     0x0010     !  102
     1227050     0x0020     !  103
     1239015     0x0010     !  104
     1250975     0x0020     !  105
     1262935     0x0010     !  106
     1274900     0x0020     !  107
     1286860     0x0010     !  108
     1298820     0x0020     !  109
     1310780     0x0010     !  110
     1322745     0x0020     !  111
     1334705     0x0010     !  112
     1346665     0x0020     !  113
     1358630     0x0010     !  114
     1370590     0x0020     !  115
     1382550     0x0010     !  116
     1394510     0x0020     !  117
     1406475     0x0010     !  118
     1418435     0x0020     !  119
     1430395     0x0010     !  120
     1442355     0x0020     !  121
     1454320     0x0010     !  122
     1466280     0x0000     !  123
     1497297     0x0000     !  124
#
#
# vx_i: 460.00 vx_f: 459.42 stages:123 phase:   0.00 mass:  17.00
