# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  53.40 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11455     0x0020     !    1
       24620     0x0010     !    2
       37835     0x0020     !    3
       51105     0x0010     !    4
       64425     0x0020     !    5
       77805     0x0010     !    6
       91240     0x0020     !    7
      104735     0x0010     !    8
      118280     0x0020     !    9
      131890     0x0010     !   10
      145555     0x0020     !   11
      159285     0x0010     !   12
      173070     0x0020     !   13
      186915     0x0010     !   14
      200830     0x0020     !   15
      214800     0x0010     !   16
      228840     0x0020     !   17
      242940     0x0010     !   18
      257105     0x0020     !   19
      271340     0x0010     !   20
      285645     0x0020     !   21
      300015     0x0010     !   22
      314455     0x0020     !   23
      328965     0x0010     !   24
      343545     0x0020     !   25
      358200     0x0010     !   26
      372925     0x0020     !   27
      387730     0x0010     !   28
      402610     0x0020     !   29
      417565     0x0010     !   30
      432600     0x0020     !   31
      447715     0x0010     !   32
      462910     0x0020     !   33
      478185     0x0010     !   34
      493545     0x0020     !   35
      508990     0x0010     !   36
      524525     0x0020     !   37
      540145     0x0010     !   38
      555855     0x0020     !   39
      571655     0x0010     !   40
      587545     0x0020     !   41
      603535     0x0010     !   42
      619615     0x0020     !   43
      635795     0x0010     !   44
      652075     0x0020     !   45
      668455     0x0010     !   46
      684940     0x0020     !   47
      701530     0x0010     !   48
      718225     0x0020     !   49
      735030     0x0010     !   50
      751950     0x0020     !   51
      768980     0x0010     !   52
      786125     0x0020     !   53
      803390     0x0010     !   54
      820775     0x0020     !   55
      838285     0x0010     !   56
      855920     0x0020     !   57
      873685     0x0010     !   58
      891580     0x0020     !   59
      909610     0x0010     !   60
      927780     0x0020     !   61
      946090     0x0010     !   62
      964545     0x0020     !   63
      983145     0x0010     !   64
     1001900     0x0020     !   65
     1020810     0x0010     !   66
     1039875     0x0020     !   67
     1059105     0x0010     !   68
     1078505     0x0020     !   69
     1098075     0x0010     !   70
     1117820     0x0020     !   71
     1137750     0x0010     !   72
     1157865     0x0020     !   73
     1178170     0x0010     !   74
     1198675     0x0020     !   75
     1219385     0x0010     !   76
     1240300     0x0020     !   77
     1261435     0x0010     !   78
     1282790     0x0020     !   79
     1304375     0x0010     !   80
     1326200     0x0020     !   81
     1348270     0x0010     !   82
     1370595     0x0020     !   83
     1393180     0x0010     !   84
     1416040     0x0020     !   85
     1439185     0x0010     !   86
     1462620     0x0020     !   87
     1486360     0x0010     !   88
     1510420     0x0020     !   89
     1534810     0x0010     !   90
     1559545     0x0020     !   91
     1584635     0x0010     !   92
     1610105     0x0020     !   93
     1635965     0x0010     !   94
     1662240     0x0020     !   95
     1688945     0x0010     !   96
     1716105     0x0020     !   97
     1743740     0x0010     !   98
     1771885     0x0020     !   99
     1800560     0x0010     !  100
     1829800     0x0020     !  101
     1859635     0x0010     !  102
     1890110     0x0020     !  103
     1921265     0x0010     !  104
     1953150     0x0020     !  105
     1985815     0x0010     !  106
     2019320     0x0020     !  107
     2053740     0x0010     !  108
     2089145     0x0020     !  109
     2125630     0x0010     !  110
     2163300     0x0020     !  111
     2202280     0x0010     !  112
     2242710     0x0020     !  113
     2284775     0x0010     !  114
     2328685     0x0020     !  115
     2374705     0x0010     !  116
     2423180     0x0020     !  117
     2474540     0x0010     !  118
     2529380     0x0020     !  119
     2588515     0x0010     !  120
     2653155     0x0020     !  121
     2725195     0x0010     !  122
     2807980     0x0000     !  123
     2939899     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  57.75 stages:123 phase:  53.40 mass:  17.00
