# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  53.70 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11480     0x0020     !    1
       24640     0x0010     !    2
       37855     0x0020     !    3
       51125     0x0010     !    4
       64450     0x0020     !    5
       77835     0x0010     !    6
       91270     0x0020     !    7
      104765     0x0010     !    8
      118315     0x0020     !    9
      131925     0x0010     !   10
      145595     0x0020     !   11
      159325     0x0010     !   12
      173120     0x0020     !   13
      186970     0x0010     !   14
      200885     0x0020     !   15
      214865     0x0010     !   16
      228905     0x0020     !   17
      243015     0x0010     !   18
      257190     0x0020     !   19
      271430     0x0010     !   20
      285740     0x0020     !   21
      300120     0x0010     !   22
      314565     0x0020     !   23
      329085     0x0010     !   24
      343675     0x0020     !   25
      358340     0x0010     !   26
      373080     0x0020     !   27
      387895     0x0010     !   28
      402785     0x0020     !   29
      417755     0x0010     !   30
      432800     0x0020     !   31
      447930     0x0010     !   32
      463140     0x0020     !   33
      478430     0x0010     !   34
      493810     0x0020     !   35
      509270     0x0010     !   36
      524820     0x0020     !   37
      540460     0x0010     !   38
      556185     0x0020     !   39
      572005     0x0010     !   40
      587920     0x0020     !   41
      603930     0x0010     !   42
      620035     0x0020     !   43
      636240     0x0010     !   44
      652545     0x0020     !   45
      668950     0x0010     !   46
      685460     0x0020     !   47
      702075     0x0010     !   48
      718805     0x0020     !   49
      735640     0x0010     !   50
      752585     0x0020     !   51
      769650     0x0010     !   52
      786830     0x0020     !   53
      804135     0x0010     !   54
      821555     0x0020     !   55
      839105     0x0010     !   56
      856780     0x0020     !   57
      874585     0x0010     !   58
      892525     0x0020     !   59
      910600     0x0010     !   60
      928820     0x0020     !   61
      947175     0x0010     !   62
      965680     0x0020     !   63
      984335     0x0010     !   64
     1003145     0x0020     !   65
     1022110     0x0010     !   66
     1041240     0x0020     !   67
     1060535     0x0010     !   68
     1079995     0x0020     !   69
     1099635     0x0010     !   70
     1119455     0x0020     !   71
     1139455     0x0010     !   72
     1159650     0x0020     !   73
     1180035     0x0010     !   74
     1200625     0x0020     !   75
     1221420     0x0010     !   76
     1242430     0x0020     !   77
     1263660     0x0010     !   78
     1285115     0x0020     !   79
     1306805     0x0010     !   80
     1328740     0x0020     !   81
     1350925     0x0010     !   82
     1373370     0x0020     !   83
     1396085     0x0010     !   84
     1419075     0x0020     !   85
     1442360     0x0010     !   86
     1465945     0x0020     !   87
     1489840     0x0010     !   88
     1514060     0x0020     !   89
     1538620     0x0010     !   90
     1563535     0x0020     !   91
     1588820     0x0010     !   92
     1614490     0x0020     !   93
     1640570     0x0010     !   94
     1667070     0x0020     !   95
     1694015     0x0010     !   96
     1721430     0x0020     !   97
     1749340     0x0010     !   98
     1777775     0x0020     !   99
     1806765     0x0010     !  100
     1836335     0x0020     !  101
     1866535     0x0010     !  102
     1897395     0x0020     !  103
     1928970     0x0010     !  104
     1961305     0x0020     !  105
     1994465     0x0010     !  106
     2028510     0x0020     !  107
     2063515     0x0010     !  108
     2099570     0x0020     !  109
     2136770     0x0010     !  110
     2175240     0x0020     !  111
     2215115     0x0010     !  112
     2256560     0x0020     !  113
     2299775     0x0010     !  114
     2345015     0x0020     !  115
     2392590     0x0010     !  116
     2442900     0x0020     !  117
     2496490     0x0010     !  118
     2554090     0x0020     !  119
     2616770     0x0010     !  120
     2686165     0x0020     !  121
     2765065     0x0010     !  122
     2858970     0x0000     !  123
     3015631     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  48.57 stages:123 phase:  53.70 mass:  17.00
