# vx_i: 475.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        6800     0x0020     !    1
       18385     0x0010     !    2
       29970     0x0020     !    3
       41550     0x0010     !    4
       53135     0x0020     !    5
       64720     0x0010     !    6
       76300     0x0020     !    7
       87885     0x0010     !    8
       99470     0x0020     !    9
      111050     0x0010     !   10
      122635     0x0020     !   11
      134220     0x0010     !   12
      145800     0x0020     !   13
      157385     0x0010     !   14
      168970     0x0020     !   15
      180550     0x0010     !   16
      192135     0x0020     !   17
      203720     0x0010     !   18
      215300     0x0020     !   19
      226885     0x0010     !   20
      238470     0x0020     !   21
      250050     0x0010     !   22
      261635     0x0020     !   23
      273220     0x0010     !   24
      284800     0x0020     !   25
      296385     0x0010     !   26
      307970     0x0020     !   27
      319550     0x0010     !   28
      331135     0x0020     !   29
      342720     0x0010     !   30
      354300     0x0020     !   31
      365885     0x0010     !   32
      377470     0x0020     !   33
      389050     0x0010     !   34
      400635     0x0020     !   35
      412220     0x0010     !   36
      423800     0x0020     !   37
      435385     0x0010     !   38
      446970     0x0020     !   39
      458550     0x0010     !   40
      470135     0x0020     !   41
      481720     0x0010     !   42
      493300     0x0020     !   43
      504885     0x0010     !   44
      516470     0x0020     !   45
      528050     0x0010     !   46
      539635     0x0020     !   47
      551220     0x0010     !   48
      562800     0x0020     !   49
      574385     0x0010     !   50
      585970     0x0020     !   51
      597550     0x0010     !   52
      609135     0x0020     !   53
      620720     0x0010     !   54
      632300     0x0020     !   55
      643885     0x0010     !   56
      655470     0x0020     !   57
      667050     0x0010     !   58
      678635     0x0020     !   59
      690220     0x0010     !   60
      701800     0x0020     !   61
      713385     0x0010     !   62
      724970     0x0020     !   63
      736550     0x0010     !   64
      748135     0x0020     !   65
      759720     0x0010     !   66
      771300     0x0020     !   67
      782885     0x0010     !   68
      794470     0x0020     !   69
      806050     0x0010     !   70
      817635     0x0020     !   71
      829220     0x0010     !   72
      840800     0x0020     !   73
      852385     0x0010     !   74
      863970     0x0020     !   75
      875550     0x0010     !   76
      887135     0x0020     !   77
      898720     0x0010     !   78
      910300     0x0020     !   79
      921885     0x0010     !   80
      933470     0x0020     !   81
      945050     0x0010     !   82
      956635     0x0020     !   83
      968220     0x0010     !   84
      979800     0x0020     !   85
      991385     0x0010     !   86
     1002970     0x0020     !   87
     1014550     0x0010     !   88
     1026135     0x0020     !   89
     1037720     0x0010     !   90
     1049300     0x0020     !   91
     1060885     0x0010     !   92
     1072470     0x0020     !   93
     1084050     0x0010     !   94
     1095635     0x0020     !   95
     1107220     0x0010     !   96
     1118800     0x0020     !   97
     1130385     0x0010     !   98
     1141970     0x0020     !   99
     1153550     0x0010     !  100
     1165135     0x0020     !  101
     1176720     0x0010     !  102
     1188300     0x0020     !  103
     1199885     0x0010     !  104
     1211470     0x0020     !  105
     1223050     0x0010     !  106
     1234635     0x0020     !  107
     1246220     0x0010     !  108
     1257800     0x0020     !  109
     1269385     0x0010     !  110
     1280970     0x0020     !  111
     1292550     0x0010     !  112
     1304135     0x0020     !  113
     1315720     0x0010     !  114
     1327300     0x0020     !  115
     1338885     0x0010     !  116
     1350470     0x0020     !  117
     1362050     0x0010     !  118
     1373635     0x0020     !  119
     1385220     0x0010     !  120
     1396800     0x0020     !  121
     1408385     0x0010     !  122
     1419970     0x0000     !  123
     1450005     0x0000     !  124
#
#
# vx_i: 475.00 vx_f: 474.43 stages:123 phase:   0.00 mass:  17.00
