# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  62.40 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11370     0x0020     !    1
       23655     0x0010     !    2
       35995     0x0020     !    3
       48380     0x0010     !    4
       60820     0x0020     !    5
       73310     0x0010     !    6
       85855     0x0020     !    7
       98455     0x0010     !    8
      111105     0x0020     !    9
      123815     0x0010     !   10
      136575     0x0020     !   11
      149395     0x0010     !   12
      162275     0x0020     !   13
      175210     0x0010     !   14
      188205     0x0020     !   15
      201260     0x0010     !   16
      214375     0x0020     !   17
      227550     0x0010     !   18
      240790     0x0020     !   19
      254090     0x0010     !   20
      267455     0x0020     !   21
      280890     0x0010     !   22
      294385     0x0020     !   23
      307950     0x0010     !   24
      321580     0x0020     !   25
      335280     0x0010     !   26
      349055     0x0020     !   27
      362895     0x0010     !   28
      376810     0x0020     !   29
      390800     0x0010     !   30
      404860     0x0020     !   31
      419000     0x0010     !   32
      433215     0x0020     !   33
      447510     0x0010     !   34
      461880     0x0020     !   35
      476335     0x0010     !   36
      490875     0x0020     !   37
      505495     0x0010     !   38
      520200     0x0020     !   39
      534995     0x0010     !   40
      549875     0x0020     !   41
      564845     0x0010     !   42
      579910     0x0020     !   43
      595065     0x0010     !   44
      610315     0x0020     !   45
      625660     0x0010     !   46
      641110     0x0020     !   47
      656655     0x0010     !   48
      672305     0x0020     !   49
      688060     0x0010     !   50
      703920     0x0020     !   51
      719890     0x0010     !   52
      735975     0x0020     !   53
      752170     0x0010     !   54
      768480     0x0020     !   55
      784910     0x0010     !   56
      801460     0x0020     !   57
      818135     0x0010     !   58
      834940     0x0020     !   59
      851870     0x0010     !   60
      868935     0x0020     !   61
      886135     0x0010     !   62
      903475     0x0020     !   63
      920960     0x0010     !   64
      938590     0x0020     !   65
      956365     0x0010     !   66
      974300     0x0020     !   67
      992390     0x0010     !   68
     1010645     0x0020     !   69
     1029065     0x0010     !   70
     1047655     0x0020     !   71
     1066425     0x0010     !   72
     1085375     0x0020     !   73
     1104510     0x0010     !   74
     1123835     0x0020     !   75
     1143365     0x0010     !   76
     1163095     0x0020     !   77
     1183035     0x0010     !   78
     1203195     0x0020     !   79
     1223580     0x0010     !   80
     1244200     0x0020     !   81
     1265060     0x0010     !   82
     1286170     0x0020     !   83
     1307540     0x0010     !   84
     1329175     0x0020     !   85
     1351095     0x0010     !   86
     1373300     0x0020     !   87
     1395810     0x0010     !   88
     1418635     0x0020     !   89
     1441785     0x0010     !   90
     1465285     0x0020     !   91
     1489140     0x0010     !   92
     1513370     0x0020     !   93
     1537995     0x0010     !   94
     1563035     0x0020     !   95
     1588510     0x0010     !   96
     1614445     0x0020     !   97
     1640865     0x0010     !   98
     1667795     0x0020     !   99
     1695275     0x0010     !  100
     1723330     0x0020     !  101
     1752005     0x0010     !  102
     1781335     0x0020     !  103
     1811380     0x0010     !  104
     1842180     0x0020     !  105
     1873805     0x0010     !  106
     1906320     0x0020     !  107
     1939810     0x0010     !  108
     1974360     0x0020     !  109
     2010090     0x0010     !  110
     2047115     0x0020     !  111
     2085600     0x0010     !  112
     2125720     0x0020     !  113
     2167715     0x0010     !  114
     2211870     0x0020     !  115
     2258560     0x0010     !  116
     2308275     0x0020     !  117
     2361690     0x0010     !  118
     2419790     0x0020     !  119
     2484075     0x0010     !  120
     2557080     0x0020     !  121
     2643785     0x0010     !  122
     2757385     0x0000     !  123
     2968654     0x0000     !  124
#
#
# vx_i: 450.00 vx_f:  34.76 stages:123 phase:  62.40 mass:  17.00
