# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  54.50 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11535     0x0020     !    1
       24700     0x0010     !    2
       37920     0x0020     !    3
       51190     0x0010     !    4
       64520     0x0020     !    5
       77905     0x0010     !    6
       91345     0x0020     !    7
      104850     0x0010     !    8
      118405     0x0020     !    9
      132025     0x0010     !   10
      145705     0x0020     !   11
      159445     0x0010     !   12
      173250     0x0020     !   13
      187115     0x0010     !   14
      201040     0x0020     !   15
      215035     0x0010     !   16
      229095     0x0020     !   17
      243220     0x0010     !   18
      257410     0x0020     !   19
      271675     0x0010     !   20
      286005     0x0020     !   21
      300405     0x0010     !   22
      314875     0x0020     !   23
      329420     0x0010     !   24
      344040     0x0020     !   25
      358730     0x0010     !   26
      373500     0x0020     !   27
      388345     0x0010     !   28
      403270     0x0020     !   29
      418275     0x0010     !   30
      433360     0x0020     !   31
      448525     0x0010     !   32
      463775     0x0020     !   33
      479110     0x0010     !   34
      494530     0x0020     !   35
      510040     0x0010     !   36
      525635     0x0020     !   37
      541325     0x0010     !   38
      557105     0x0020     !   39
      572980     0x0010     !   40
      588955     0x0020     !   41
      605020     0x0010     !   42
      621190     0x0020     !   43
      637460     0x0010     !   44
      653830     0x0020     !   45
      670310     0x0010     !   46
      686895     0x0020     !   47
      703590     0x0010     !   48
      720395     0x0020     !   49
      737315     0x0010     !   50
      754350     0x0020     !   51
      771505     0x0010     !   52
      788780     0x0020     !   53
      806180     0x0010     !   54
      823705     0x0020     !   55
      841360     0x0010     !   56
      859145     0x0020     !   57
      877065     0x0010     !   58
      895125     0x0020     !   59
      913325     0x0010     !   60
      931675     0x0020     !   61
      950165     0x0010     !   62
      968815     0x0020     !   63
      987615     0x0010     !   64
     1006575     0x0020     !   65
     1025705     0x0010     !   66
     1044995     0x0020     !   67
     1064465     0x0010     !   68
     1084105     0x0020     !   69
     1103935     0x0010     !   70
     1123950     0x0020     !   71
     1144155     0x0010     !   72
     1164560     0x0020     !   73
     1185170     0x0010     !   74
     1205990     0x0020     !   75
     1227030     0x0010     !   76
     1248295     0x0020     !   77
     1269790     0x0010     !   78
     1291525     0x0020     !   79
     1313505     0x0010     !   80
     1335745     0x0020     !   81
     1358250     0x0010     !   82
     1381030     0x0020     !   83
     1404095     0x0010     !   84
     1427460     0x0020     !   85
     1451130     0x0010     !   86
     1475125     0x0020     !   87
     1499450     0x0010     !   88
     1524125     0x0020     !   89
     1549170     0x0010     !   90
     1574590     0x0020     !   91
     1600410     0x0010     !   92
     1626650     0x0020     !   93
     1653330     0x0010     !   94
     1680470     0x0020     !   95
     1708100     0x0010     !   96
     1736240     0x0020     !   97
     1764930     0x0010     !   98
     1794195     0x0020     !   99
     1824075     0x0010     !  100
     1854605     0x0020     !  101
     1885835     0x0010     !  102
     1917815     0x0020     !  103
     1950605     0x0010     !  104
     1984260     0x0020     !  105
     2018860     0x0010     !  106
     2054485     0x0020     !  107
     2091235     0x0010     !  108
     2129225     0x0020     !  109
     2168585     0x0010     !  110
     2209480     0x0020     !  111
     2252100     0x0010     !  112
     2296690     0x0020     !  113
     2343545     0x0010     !  114
     2393050     0x0020     !  115
     2445720     0x0010     !  116
     2502250     0x0020     !  117
     2563630     0x0010     !  118
     2631390     0x0020     !  119
     2708060     0x0010     !  120
     2798515     0x0020     !  121
     2915045     0x0010     !  122
