# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  10.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        8290     0x0020     !    1
       21400     0x0010     !    2
       34520     0x0020     !    3
       47650     0x0010     !    4
       60790     0x0020     !    5
       73940     0x0010     !    6
       87095     0x0020     !    7
      100265     0x0010     !    8
      113440     0x0020     !    9
      126625     0x0010     !   10
      139820     0x0020     !   11
      153030     0x0010     !   12
      166240     0x0020     !   13
      179465     0x0010     !   14
      192700     0x0020     !   15
      205945     0x0010     !   16
      219195     0x0020     !   17
      232460     0x0010     !   18
      245730     0x0020     !   19
      259015     0x0010     !   20
      272305     0x0020     !   21
      285605     0x0010     !   22
      298920     0x0020     !   23
      312240     0x0010     !   24
      325570     0x0020     !   25
      338910     0x0010     !   26
      352260     0x0020     !   27
      365620     0x0010     !   28
      378990     0x0020     !   29
      392370     0x0010     !   30
      405760     0x0020     !   31
      419160     0x0010     !   32
      432570     0x0020     !   33
      445990     0x0010     !   34
      459420     0x0020     !   35
      472860     0x0010     !   36
      486310     0x0020     !   37
      499770     0x0010     !   38
      513240     0x0020     !   39
      526720     0x0010     !   40
      540210     0x0020     !   41
      553710     0x0010     !   42
      567220     0x0020     !   43
      580740     0x0010     !   44
      594270     0x0020     !   45
      607815     0x0010     !   46
      621365     0x0020     !   47
      634925     0x0010     !   48
      648500     0x0020     !   49
      662080     0x0010     !   50
      675675     0x0020     !   51
      689280     0x0010     !   52
      702890     0x0020     !   53
      716515     0x0010     !   54
      730150     0x0020     !   55
      743795     0x0010     !   56
      757450     0x0020     !   57
      771115     0x0010     !   58
      784795     0x0020     !   59
      798480     0x0010     !   60
      812180     0x0020     !   61
      825890     0x0010     !   62
      839605     0x0020     !   63
      853335     0x0010     !   64
      867075     0x0020     !   65
      880830     0x0010     !   66
      894590     0x0020     !   67
      908365     0x0010     !   68
      922145     0x0020     !   69
      935940     0x0010     !   70
      949745     0x0020     !   71
      963565     0x0010     !   72
      977390     0x0020     !   73
      991230     0x0010     !   74
     1005075     0x0020     !   75
     1018935     0x0010     !   76
     1032810     0x0020     !   77
     1046690     0x0010     !   78
     1060585     0x0020     !   79
     1074485     0x0010     !   80
     1088405     0x0020     !   81
     1102330     0x0010     !   82
     1116265     0x0020     !   83
     1130215     0x0010     !   84
     1144175     0x0020     !   85
     1158145     0x0010     !   86
     1172130     0x0020     !   87
     1186125     0x0010     !   88
     1200130     0x0020     !   89
     1214145     0x0010     !   90
     1228175     0x0020     !   91
     1242215     0x0010     !   92
     1256265     0x0020     !   93
     1270325     0x0010     !   94
     1284400     0x0020     !   95
     1298485     0x0010     !   96
     1312580     0x0020     !   97
     1326690     0x0010     !   98
     1340810     0x0020     !   99
     1354945     0x0010     !  100
     1369085     0x0020     !  101
     1383240     0x0010     !  102
     1397410     0x0020     !  103
     1411585     0x0010     !  104
     1425780     0x0020     !  105
     1439980     0x0010     !  106
     1454195     0x0020     !  107
     1468420     0x0010     !  108
     1482660     0x0020     !  109
     1496910     0x0010     !  110
     1511170     0x0020     !  111
     1525445     0x0010     !  112
     1539730     0x0020     !  113
     1554030     0x0010     !  114
     1568340     0x0020     !  115
     1582660     0x0010     !  116
     1596995     0x0020     !  117
     1611340     0x0010     !  118
     1625700     0x0020     !  119
     1640070     0x0010     !  120
     1654455     0x0020     !  121
     1668850     0x0010     !  122
     1683260     0x0000     !  123
     1706730     0x0000     !  124
#
#
# vx_i: 420.00 vx_f: 381.10 stages:123 phase:  10.00 mass:  17.00
