# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  53.80 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11485     0x0020     !    1
       24650     0x0010     !    2
       37865     0x0020     !    3
       51135     0x0010     !    4
       64460     0x0020     !    5
       77840     0x0010     !    6
       91280     0x0020     !    7
      104775     0x0010     !    8
      118330     0x0020     !    9
      131940     0x0010     !   10
      145610     0x0020     !   11
      159340     0x0010     !   12
      173135     0x0020     !   13
      186990     0x0010     !   14
      200905     0x0020     !   15
      214885     0x0010     !   16
      228930     0x0020     !   17
      243040     0x0010     !   18
      257220     0x0020     !   19
      271460     0x0010     !   20
      285775     0x0020     !   21
      300155     0x0010     !   22
      314605     0x0020     !   23
      329130     0x0010     !   24
      343725     0x0020     !   25
      358390     0x0010     !   26
      373135     0x0020     !   27
      387955     0x0010     !   28
      402850     0x0020     !   29
      417820     0x0010     !   30
      432875     0x0020     !   31
      448005     0x0010     !   32
      463220     0x0020     !   33
      478520     0x0010     !   34
      493900     0x0020     !   35
      509370     0x0010     !   36
      524925     0x0020     !   37
      540570     0x0010     !   38
      556305     0x0020     !   39
      572135     0x0010     !   40
      588055     0x0020     !   41
      604070     0x0010     !   42
      620185     0x0020     !   43
      636395     0x0010     !   44
      652710     0x0020     !   45
      669125     0x0010     !   46
      685645     0x0020     !   47
      702270     0x0010     !   48
      719010     0x0020     !   49
      735855     0x0010     !   50
      752815     0x0020     !   51
      769890     0x0010     !   52
      787080     0x0020     !   53
      804395     0x0010     !   54
      821830     0x0020     !   55
      839395     0x0010     !   56
      857085     0x0020     !   57
      874905     0x0010     !   58
      892860     0x0020     !   59
      910950     0x0010     !   60
      929185     0x0020     !   61
      947560     0x0010     !   62
      966085     0x0020     !   63
      984760     0x0010     !   64
     1003585     0x0020     !   65
     1022575     0x0010     !   66
     1041720     0x0020     !   67
     1061040     0x0010     !   68
     1080525     0x0020     !   69
     1100185     0x0010     !   70
     1120030     0x0020     !   71
     1140060     0x0010     !   72
     1160280     0x0020     !   73
     1180695     0x0010     !   74
     1201315     0x0020     !   75
     1222140     0x0010     !   76
     1243180     0x0020     !   77
     1264445     0x0010     !   78
     1285935     0x0020     !   79
     1307665     0x0010     !   80
     1329640     0x0020     !   81
     1351865     0x0010     !   82
     1374350     0x0020     !   83
     1397110     0x0010     !   84
     1420150     0x0020     !   85
     1443480     0x0010     !   86
     1467115     0x0020     !   87
     1491065     0x0010     !   88
     1515345     0x0020     !   89
     1539965     0x0010     !   90
     1564945     0x0020     !   91
     1590295     0x0010     !   92
     1616040     0x0020     !   93
     1642190     0x0010     !   94
     1668770     0x0020     !   95
     1695800     0x0010     !   96
     1723310     0x0020     !   97
     1751315     0x0010     !   98
     1779850     0x0020     !   99
     1808950     0x0010     !  100
     1838640     0x0020     !  101
     1868965     0x0010     !  102
     1899965     0x0020     !  103
     1931685     0x0010     !  104
     1964185     0x0020     !  105
     1997515     0x0010     !  106
     2031750     0x0020     !  107
     2066970     0x0010     !  108
     2103255     0x0020     !  109
     2140715     0x0010     !  110
     2179470     0x0020     !  111
     2219665     0x0010     !  112
     2261475     0x0020     !  113
     2305115     0x0010     !  114
     2350840     0x0020     !  115
     2398985     0x0010     !  116
     2449980     0x0020     !  117
     2504405     0x0010     !  118
     2563055     0x0020     !  119
     2627110     0x0010     !  120
     2698405     0x0020     !  121
     2780165     0x0010     !  122
     2879095     0x0000     !  123
     3048174     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  44.99 stages:123 phase:  53.80 mass:  17.00
