# vx_i: 485.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        6680     0x0020     !    1
       18025     0x0010     !    2
       29370     0x0020     !    3
       40715     0x0010     !    4
       52060     0x0020     !    5
       63405     0x0010     !    6
       74750     0x0020     !    7
       86095     0x0010     !    8
       97435     0x0020     !    9
      108780     0x0010     !   10
      120125     0x0020     !   11
      131470     0x0010     !   12
      142815     0x0020     !   13
      154160     0x0010     !   14
      165505     0x0020     !   15
      176845     0x0010     !   16
      188190     0x0020     !   17
      199535     0x0010     !   18
      210880     0x0020     !   19
      222225     0x0010     !   20
      233570     0x0020     !   21
      244915     0x0010     !   22
      256260     0x0020     !   23
      267600     0x0010     !   24
      278945     0x0020     !   25
      290290     0x0010     !   26
      301635     0x0020     !   27
      312980     0x0010     !   28
      324325     0x0020     !   29
      335670     0x0010     !   30
      347015     0x0020     !   31
      358355     0x0010     !   32
      369700     0x0020     !   33
      381045     0x0010     !   34
      392390     0x0020     !   35
      403735     0x0010     !   36
      415080     0x0020     !   37
      426425     0x0010     !   38
      437765     0x0020     !   39
      449110     0x0010     !   40
      460455     0x0020     !   41
      471800     0x0010     !   42
      483145     0x0020     !   43
      494490     0x0010     !   44
      505835     0x0020     !   45
      517180     0x0010     !   46
      528520     0x0020     !   47
      539865     0x0010     !   48
      551210     0x0020     !   49
      562555     0x0010     !   50
      573900     0x0020     !   51
      585245     0x0010     !   52
      596590     0x0020     !   53
      607935     0x0010     !   54
      619275     0x0020     !   55
      630620     0x0010     !   56
      641965     0x0020     !   57
      653310     0x0010     !   58
      664655     0x0020     !   59
      676000     0x0010     !   60
      687345     0x0020     !   61
      698685     0x0010     !   62
      710030     0x0020     !   63
      721375     0x0010     !   64
      732720     0x0020     !   65
      744065     0x0010     !   66
      755410     0x0020     !   67
      766755     0x0010     !   68
      778100     0x0020     !   69
      789440     0x0010     !   70
      800785     0x0020     !   71
      812130     0x0010     !   72
      823475     0x0020     !   73
      834820     0x0010     !   74
      846165     0x0020     !   75
      857510     0x0010     !   76
      868855     0x0020     !   77
      880195     0x0010     !   78
      891540     0x0020     !   79
      902885     0x0010     !   80
      914230     0x0020     !   81
      925575     0x0010     !   82
      936920     0x0020     !   83
      948265     0x0010     !   84
      959605     0x0020     !   85
      970950     0x0010     !   86
      982295     0x0020     !   87
      993640     0x0010     !   88
     1004985     0x0020     !   89
     1016330     0x0010     !   90
     1027675     0x0020     !   91
     1039020     0x0010     !   92
     1050360     0x0020     !   93
     1061705     0x0010     !   94
     1073050     0x0020     !   95
     1084395     0x0010     !   96
     1095740     0x0020     !   97
     1107085     0x0010     !   98
     1118430     0x0020     !   99
     1129775     0x0010     !  100
     1141115     0x0020     !  101
     1152460     0x0010     !  102
     1163805     0x0020     !  103
     1175150     0x0010     !  104
     1186495     0x0020     !  105
     1197840     0x0010     !  106
     1209185     0x0020     !  107
     1220525     0x0010     !  108
     1231870     0x0020     !  109
     1243215     0x0010     !  110
     1254560     0x0020     !  111
     1265905     0x0010     !  112
     1277250     0x0020     !  113
     1288595     0x0010     !  114
     1299940     0x0020     !  115
     1311280     0x0010     !  116
     1322625     0x0020     !  117
     1333970     0x0010     !  118
     1345315     0x0020     !  119
     1356660     0x0010     !  120
     1368005     0x0020     !  121
     1379350     0x0010     !  122
     1390695     0x0000     !  123
     1420110     0x0000     !  124
#
#
# vx_i: 485.00 vx_f: 484.44 stages:123 phase:   0.00 mass:  17.00
