# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  40.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        9290     0x0020     !    1
       20785     0x0010     !    2
       32300     0x0020     !    3
       43845     0x0010     !    4
       55415     0x0020     !    5
       67015     0x0010     !    6
       78635     0x0020     !    7
       90290     0x0010     !    8
      101965     0x0020     !    9
      113670     0x0010     !   10
      125405     0x0020     !   11
      137165     0x0010     !   12
      148955     0x0020     !   13
      160775     0x0010     !   14
      172620     0x0020     !   15
      184495     0x0010     !   16
      196400     0x0020     !   17
      208330     0x0010     !   18
      220295     0x0020     !   19
      232285     0x0010     !   20
      244305     0x0020     !   21
      256360     0x0010     !   22
      268440     0x0020     !   23
      280550     0x0010     !   24
      292695     0x0020     !   25
      304870     0x0010     !   26
      317075     0x0020     !   27
      329310     0x0010     !   28
      341575     0x0020     !   29
      353875     0x0010     !   30
      366210     0x0020     !   31
      378570     0x0010     !   32
      390970     0x0020     !   33
      403400     0x0010     !   34
      415860     0x0020     !   35
      428355     0x0010     !   36
      440885     0x0020     !   37
      453450     0x0010     !   38
      466050     0x0020     !   39
      478680     0x0010     !   40
      491345     0x0020     !   41
      504050     0x0010     !   42
      516785     0x0020     !   43
      529560     0x0010     !   44
      542370     0x0020     !   45
      555215     0x0010     !   46
      568095     0x0020     !   47
      581015     0x0010     !   48
      593975     0x0020     !   49
      606965     0x0010     !   50
      620000     0x0020     !   51
      633070     0x0010     !   52
      646175     0x0020     !   53
      659325     0x0010     !   54
      672510     0x0020     !   55
      685735     0x0010     !   56
      699000     0x0020     !   57
      712310     0x0010     !   58
      725655     0x0020     !   59
      739045     0x0010     !   60
      752475     0x0020     !   61
      765945     0x0010     !   62
      779460     0x0020     !   63
      793015     0x0010     !   64
      806615     0x0020     !   65
      820255     0x0010     !   66
      833945     0x0020     !   67
      847675     0x0010     !   68
      861450     0x0020     !   69
      875270     0x0010     !   70
      889135     0x0020     !   71
      903050     0x0010     !   72
      917010     0x0020     !   73
      931015     0x0010     !   74
      945065     0x0020     !   75
      959170     0x0010     !   76
      973320     0x0020     !   77
      987515     0x0010     !   78
     1001765     0x0020     !   79
     1016065     0x0010     !   80
     1030410     0x0020     !   81
     1044810     0x0010     !   82
     1059265     0x0020     !   83
     1073765     0x0010     !   84
     1088325     0x0020     !   85
     1102930     0x0010     !   86
     1117595     0x0020     !   87
     1132315     0x0010     !   88
     1147085     0x0020     !   89
     1161915     0x0010     !   90
     1176800     0x0020     !   91
     1191740     0x0010     !   92
     1206740     0x0020     !   93
     1221800     0x0010     !   94
     1236915     0x0020     !   95
     1252095     0x0010     !   96
     1267330     0x0020     !   97
     1282630     0x0010     !   98
     1297990     0x0020     !   99
     1313410     0x0010     !  100
     1328900     0x0020     !  101
     1344450     0x0010     !  102
     1360065     0x0020     !  103
     1375745     0x0010     !  104
     1391495     0x0020     !  105
     1407310     0x0010     !  106
     1423195     0x0020     !  107
     1439150     0x0010     !  108
     1455170     0x0020     !  109
     1471265     0x0010     !  110
     1487435     0x0020     !  111
     1503675     0x0010     !  112
     1519990     0x0020     !  113
     1536380     0x0010     !  114
     1552845     0x0020     !  115
     1569385     0x0010     !  116
     1586010     0x0020     !  117
     1602710     0x0010     !  118
     1619490     0x0020     !  119
     1636355     0x0010     !  120
     1653300     0x0020     !  121
     1670330     0x0010     !  122
     1687450     0x0000     !  123
     1712543     0x0000     !  124
#
#
# vx_i: 480.00 vx_f: 319.91 stages:123 phase:  40.00 mass:  17.00
