# vx_i: 410.00 vx_f:   0.00 stages:123 phase:  50.81 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11520     0x0020     !    1
       25000     0x0010     !    2
       38540     0x0020     !    3
       52130     0x0010     !    4
       65780     0x0020     !    5
       79485     0x0010     !    6
       93245     0x0020     !    7
      107065     0x0010     !    8
      120945     0x0020     !    9
      134880     0x0010     !   10
      148880     0x0020     !   11
      162940     0x0010     !   12
      177060     0x0020     !   13
      191245     0x0010     !   14
      205490     0x0020     !   15
      219800     0x0010     !   16
      234180     0x0020     !   17
      248620     0x0010     !   18
      263130     0x0020     !   19
      277710     0x0010     !   20
      292355     0x0020     !   21
      307070     0x0010     !   22
      321860     0x0020     !   23
      336720     0x0010     !   24
      351650     0x0020     !   25
      366660     0x0010     !   26
      381740     0x0020     !   27
      396900     0x0010     !   28
      412135     0x0020     !   29
      427450     0x0010     !   30
      442845     0x0020     !   31
      458320     0x0010     !   32
      473875     0x0020     !   33
      489520     0x0010     !   34
      505245     0x0020     !   35
      521060     0x0010     !   36
      536965     0x0020     !   37
      552955     0x0010     !   38
      569035     0x0020     !   39
      585215     0x0010     !   40
      601485     0x0020     !   41
      617850     0x0010     !   42
      634315     0x0020     !   43
      650875     0x0010     !   44
      667540     0x0020     !   45
      684310     0x0010     !   46
      701180     0x0020     !   47
      718160     0x0010     !   48
      735250     0x0020     !   49
      752450     0x0010     !   50
      769765     0x0020     !   51
      787195     0x0010     !   52
      804745     0x0020     !   53
      822410     0x0010     !   54
      840205     0x0020     !   55
      858120     0x0010     !   56
      876165     0x0020     !   57
      894345     0x0010     !   58
      912655     0x0020     !   59
      931105     0x0010     !   60
      949695     0x0020     !   61
      968425     0x0010     !   62
      987305     0x0020     !   63
     1006335     0x0010     !   64
     1025520     0x0020     !   65
     1044860     0x0010     !   66
     1064365     0x0020     !   67
     1084035     0x0010     !   68
     1103875     0x0020     !   69
     1123890     0x0010     !   70
     1144085     0x0020     !   71
     1164465     0x0010     !   72
     1185030     0x0020     !   73
     1205795     0x0010     !   74
     1226760     0x0020     !   75
     1247930     0x0010     !   76
     1269315     0x0020     !   77
     1290915     0x0010     !   78
     1312745     0x0020     !   79
     1334810     0x0010     !   80
     1357115     0x0020     !   81
     1379665     0x0010     !   82
     1402475     0x0020     !   83
     1425555     0x0010     !   84
     1448910     0x0020     !   85
     1472550     0x0010     !   86
     1496490     0x0020     !   87
     1520735     0x0010     !   88
     1545305     0x0020     !   89
     1570205     0x0010     !   90
     1595460     0x0020     !   91
     1621075     0x0010     !   92
     1647070     0x0020     !   93
     1673460     0x0010     !   94
     1700265     0x0020     !   95
     1727510     0x0010     !   96
     1755210     0x0020     !   97
     1783395     0x0010     !   98
     1812085     0x0020     !   99
     1841315     0x0010     !  100
     1871110     0x0020     !  101
     1901505     0x0010     !  102
     1932545     0x0020     !  103
     1964265     0x0010     !  104
     1996715     0x0020     !  105
     2029950     0x0010     !  106
     2064025     0x0020     !  107
     2099010     0x0010     !  108
     2134980     0x0020     !  109
     2172025     0x0010     !  110
     2210250     0x0020     !  111
     2249770     0x0010     !  112
     2290730     0x0020     !  113
     2333300     0x0010     !  114
     2377685     0x0020     !  115
     2424135     0x0010     !  116
     2472980     0x0020     !  117
     2524625     0x0010     !  118
     2579610     0x0020     !  119
     2638695     0x0010     !  120
     2702955     0x0020     !  121
     2774045     0x0010     !  122
     2854775     0x0000     !  123
     2983138     0x0000     !  124
#
#
# vx_i: 410.00 vx_f:  59.97 stages:123 phase:  50.81 mass:  17.00
