# vx_i: 460.00 vx_f:   0.00 stages:123 phase:  64.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11255     0x0020     !    1
       23270     0x0010     !    2
       35335     0x0020     !    3
       47450     0x0010     !    4
       59615     0x0020     !    5
       71830     0x0010     !    6
       84095     0x0020     !    7
       96410     0x0010     !    8
      108780     0x0020     !    9
      121200     0x0010     !   10
      133675     0x0020     !   11
      146205     0x0010     !   12
      158785     0x0020     !   13
      171425     0x0010     !   14
      184120     0x0020     !   15
      196870     0x0010     !   16
      209680     0x0020     !   17
      222550     0x0010     !   18
      235480     0x0020     !   19
      248465     0x0010     !   20
      261515     0x0020     !   21
      274625     0x0010     !   22
      287800     0x0020     !   23
      301035     0x0010     !   24
      314340     0x0020     !   25
      327705     0x0010     !   26
      341140     0x0020     !   27
      354640     0x0010     !   28
      368215     0x0020     !   29
      381855     0x0010     !   30
      395565     0x0020     !   31
      409345     0x0010     !   32
      423200     0x0020     !   33
      437130     0x0010     !   34
      451135     0x0020     !   35
      465220     0x0010     !   36
      479380     0x0020     !   37
      493620     0x0010     !   38
      507940     0x0020     !   39
      522340     0x0010     !   40
      536825     0x0020     !   41
      551395     0x0010     !   42
      566050     0x0020     !   43
      580795     0x0010     !   44
      595630     0x0020     !   45
      610555     0x0010     !   46
      625570     0x0020     !   47
      640680     0x0010     !   48
      655890     0x0020     !   49
      671200     0x0010     !   50
      686605     0x0020     !   51
      702115     0x0010     !   52
      717730     0x0020     !   53
      733450     0x0010     !   54
      749275     0x0020     !   55
      765215     0x0010     !   56
      781270     0x0020     !   57
      797435     0x0010     !   58
      813725     0x0020     !   59
      830130     0x0010     !   60
      846660     0x0020     !   61
      863320     0x0010     !   62
      880105     0x0020     !   63
      897025     0x0010     !   64
      914080     0x0020     !   65
      931275     0x0010     !   66
      948610     0x0020     !   67
      966095     0x0010     !   68
      983725     0x0020     !   69
     1001510     0x0010     !   70
     1019455     0x0020     !   71
     1037560     0x0010     !   72
     1055830     0x0020     !   73
     1074275     0x0010     !   74
     1092895     0x0020     !   75
     1111695     0x0010     !   76
     1130680     0x0020     !   77
     1149860     0x0010     !   78
     1169240     0x0020     !   79
     1188820     0x0010     !   80
     1208615     0x0020     !   81
     1228625     0x0010     !   82
     1248860     0x0020     !   83
     1269330     0x0010     !   84
     1290045     0x0020     !   85
     1311005     0x0010     !   86
     1332225     0x0020     !   87
     1353720     0x0010     !   88
     1375490     0x0020     !   89
     1397550     0x0010     !   90
     1419915     0x0020     !   91
     1442600     0x0010     !   92
     1465610     0x0020     !   93
     1488965     0x0010     !   94
     1512685     0x0020     !   95
     1536780     0x0010     !   96
     1561270     0x0020     !   97
     1586180     0x0010     !   98
     1611530     0x0020     !   99
     1637340     0x0010     !  100
     1663640     0x0020     !  101
     1690460     0x0010     !  102
     1717825     0x0020     !  103
     1745780     0x0010     !  104
     1774360     0x0020     !  105
     1803610     0x0010     !  106
     1833575     0x0020     !  107
     1864315     0x0010     !  108
     1895890     0x0020     !  109
     1928375     0x0010     !  110
     1961855     0x0020     !  111
     1996420     0x0010     !  112
     2032190     0x0020     !  113
     2069300     0x0010     !  114
     2107910     0x0020     !  115
     2148220     0x0010     !  116
     2190475     0x0020     !  117
     2234985     0x0010     !  118
     2282165     0x0020     !  119
     2332550     0x0010     !  120
     2386905     0x0020     !  121
     2446350     0x0010     !  122
     2512655     0x0000     !  123
     2609594     0x0000     !  124
#
#
# vx_i: 460.00 vx_f:  75.25 stages:123 phase:  64.00 mass:  17.00
