#
#
#
#
1010 0x0010 ! 
9845 0x0020 ! 1
22110 0x0010 ! 2
34400 0x0020 ! 3
46730 0x0010 ! 4
59085 0x0020 ! 5
71480 0x0010 ! 6
83900 0x0020 ! 7
96360 0x0010 ! 8
108850 0x0020 ! 9
121375 0x0010 ! 10
133930 0x0020 ! 11
146525 0x0010 ! 12
159150 0x0020 ! 13
171810 0x0010 ! 14
184510 0x0020 ! 15
197240 0x0010 ! 16
210005 0x0020 ! 17
222810 0x0010 ! 18
235650 0x0020 ! 19
248525 0x0010 ! 20
261440 0x0020 ! 21
274390 0x0010 ! 22
287375 0x0020 ! 23
300400 0x0010 ! 24
313465 0x0020 ! 25
326565 0x0010 ! 26
339710 0x0020 ! 27
352890 0x0010 ! 28
366105 0x0020 ! 29
379365 0x0010 ! 30
392665 0x0020 ! 31
406005 0x0010 ! 32
419390 0x0020 ! 33
432810 0x0010 ! 34
446275 0x0020 ! 35
459780 0x0010 ! 36
473330 0x0020 ! 37
486920 0x0010 ! 38
500555 0x0020 ! 39
514235 0x0010 ! 40
527960 0x0020 ! 41
541730 0x0010 ! 42
555540 0x0020 ! 43
569400 0x0010 ! 44
583305 0x0020 ! 45
597255 0x0010 ! 46
611255 0x0020 ! 47
625300 0x0010 ! 48
639390 0x0020 ! 49
653535 0x0010 ! 50
667725 0x0020 ! 51
681965 0x0010 ! 52
696255 0x0020 ! 53
710595 0x0010 ! 54
724985 0x0020 ! 55
739425 0x0010 ! 56
753920 0x0020 ! 57
768470 0x0010 ! 58
783070 0x0020 ! 59
797725 0x0010 ! 60
812435 0x0020 ! 61
827195 0x0010 ! 62
842015 0x0020 ! 63
856890 0x0010 ! 64
871825 0x0020 ! 65
886815 0x0010 ! 66
901865 0x0020 ! 67
916970 0x0010 ! 68
932135 0x0020 ! 69
947365 0x0010 ! 70
962650 0x0020 ! 71
978000 0x0010 ! 72
993415 0x0020 ! 73
1008890 0x0010 ! 74
1024430 0x0020 ! 75
1040035 0x0010 ! 76
1055705 0x0020 ! 77
1071445 0x0010 ! 78
1087250 0x0020 ! 79
1103120 0x0010 ! 80
1119065 0x0020 ! 81
1135075 0x0010 ! 82
1151160 0x0020 ! 83
1167315 0x0010 ! 84
1183540 0x0020 ! 85
1199845 0x0010 ! 86
1216220 0x0020 ! 87
1232675 0x0010 ! 88
1249205 0x0020 ! 89
1265815 0x0010 ! 90
1282500 0x0020 ! 91
1299270 0x0010 ! 92
1316120 0x0020 ! 93
1333050 0x0010 ! 94
1350070 0x0020 ! 95
1367170 0x0010 ! 96
1384360 0x0020 ! 97
1401635 0x0010 ! 98
1419000 0x0020 ! 99
1436460 0x0010 ! 100
1454010 0x0020 ! 101
1471650 0x0010 ! 102
1489390 0x0020 ! 103
1507225 0x0010 ! 104
1525155 0x0020 ! 105
1543190 0x0010 ! 106
1561325 0x0020 ! 107
1579560 0x0010 ! 108
1597905 0x0020 ! 109
1616355 0x0010 ! 110
1634915 0x0020 ! 111
1653585 0x0010 ! 112
1672365 0x0020 ! 113
1691265 0x0010 ! 114
1710280 0x0020 ! 115
1729415 0x0010 ! 116
1748670 0x0020 ! 117
1768050 0x0010 ! 118
1787555 0x0020 ! 119
1807190 0x0010 ! 120
1826955 0x0020 ! 121
1846855 0x0010 ! 122
1866895 0x0000 ! 123
1914646 0x0000 ! 124
#
#
#
