# vx_i: 465.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        6925     0x0020     !    1
       18760     0x0010     !    2
       30590     0x0020     !    3
       42425     0x0010     !    4
       54255     0x0020     !    5
       66090     0x0010     !    6
       77920     0x0020     !    7
       89755     0x0010     !    8
      101590     0x0020     !    9
      113420     0x0010     !   10
      125255     0x0020     !   11
      137085     0x0010     !   12
      148920     0x0020     !   13
      160750     0x0010     !   14
      172585     0x0020     !   15
      184415     0x0010     !   16
      196250     0x0020     !   17
      208080     0x0010     !   18
      219915     0x0020     !   19
      231745     0x0010     !   20
      243580     0x0020     !   21
      255410     0x0010     !   22
      267245     0x0020     !   23
      279080     0x0010     !   24
      290910     0x0020     !   25
      302745     0x0010     !   26
      314575     0x0020     !   27
      326410     0x0010     !   28
      338240     0x0020     !   29
      350075     0x0010     !   30
      361905     0x0020     !   31
      373740     0x0010     !   32
      385570     0x0020     !   33
      397405     0x0010     !   34
      409235     0x0020     !   35
      421070     0x0010     !   36
      432900     0x0020     !   37
      444735     0x0010     !   38
      456570     0x0020     !   39
      468400     0x0010     !   40
      480235     0x0020     !   41
      492065     0x0010     !   42
      503900     0x0020     !   43
      515730     0x0010     !   44
      527565     0x0020     !   45
      539395     0x0010     !   46
      551230     0x0020     !   47
      563060     0x0010     !   48
      574895     0x0020     !   49
      586725     0x0010     !   50
      598560     0x0020     !   51
      610390     0x0010     !   52
      622225     0x0020     !   53
      634060     0x0010     !   54
      645890     0x0020     !   55
      657725     0x0010     !   56
      669555     0x0020     !   57
      681390     0x0010     !   58
      693220     0x0020     !   59
      705055     0x0010     !   60
      716885     0x0020     !   61
      728720     0x0010     !   62
      740550     0x0020     !   63
      752385     0x0010     !   64
      764215     0x0020     !   65
      776050     0x0010     !   66
      787880     0x0020     !   67
      799715     0x0010     !   68
      811550     0x0020     !   69
      823380     0x0010     !   70
      835215     0x0020     !   71
      847045     0x0010     !   72
      858880     0x0020     !   73
      870710     0x0010     !   74
      882545     0x0020     !   75
      894375     0x0010     !   76
      906210     0x0020     !   77
      918040     0x0010     !   78
      929875     0x0020     !   79
      941705     0x0010     !   80
      953540     0x0020     !   81
      965370     0x0010     !   82
      977205     0x0020     !   83
      989040     0x0010     !   84
     1000870     0x0020     !   85
     1012705     0x0010     !   86
     1024535     0x0020     !   87
     1036370     0x0010     !   88
     1048200     0x0020     !   89
     1060035     0x0010     !   90
     1071865     0x0020     !   91
     1083700     0x0010     !   92
     1095530     0x0020     !   93
     1107365     0x0010     !   94
     1119195     0x0020     !   95
     1131030     0x0010     !   96
     1142860     0x0020     !   97
     1154695     0x0010     !   98
     1166530     0x0020     !   99
     1178360     0x0010     !  100
     1190195     0x0020     !  101
     1202025     0x0010     !  102
     1213860     0x0020     !  103
     1225690     0x0010     !  104
     1237525     0x0020     !  105
     1249355     0x0010     !  106
     1261190     0x0020     !  107
     1273020     0x0010     !  108
     1284855     0x0020     !  109
     1296685     0x0010     !  110
     1308520     0x0020     !  111
     1320350     0x0010     !  112
     1332185     0x0020     !  113
     1344020     0x0010     !  114
     1355850     0x0020     !  115
     1367685     0x0010     !  116
     1379515     0x0020     !  117
     1391350     0x0010     !  118
     1403180     0x0020     !  119
     1415015     0x0010     !  120
     1426845     0x0020     !  121
     1438680     0x0010     !  122
     1450510     0x0000     !  123
     1481193     0x0000     !  124
#
#
# vx_i: 465.00 vx_f: 464.42 stages:123 phase:   0.00 mass:  17.00
