# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  72.13 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11345     0x0020     !    1
       22865     0x0010     !    2
       34430     0x0020     !    3
       46040     0x0010     !    4
       57700     0x0020     !    5
       69410     0x0010     !    6
       81170     0x0020     !    7
       92975     0x0010     !    8
      104835     0x0020     !    9
      116745     0x0010     !   10
      128705     0x0020     !   11
      140720     0x0010     !   12
      152790     0x0020     !   13
      164910     0x0010     !   14
      177085     0x0020     !   15
      189315     0x0010     !   16
      201605     0x0020     !   17
      213950     0x0010     !   18
      226350     0x0020     !   19
      238810     0x0010     !   20
      251330     0x0020     !   21
      263910     0x0010     !   22
      276555     0x0020     !   23
      289255     0x0010     !   24
      302025     0x0020     !   25
      314855     0x0010     !   26
      327750     0x0020     !   27
      340710     0x0010     !   28
      353735     0x0020     !   29
      366835     0x0010     !   30
      379995     0x0020     !   31
      393230     0x0010     !   32
      406540     0x0020     !   33
      419915     0x0010     !   34
      433370     0x0020     !   35
      446895     0x0010     !   36
      460500     0x0020     !   37
      474180     0x0010     !   38
      487935     0x0020     !   39
      501775     0x0010     !   40
      515695     0x0020     !   41
      529700     0x0010     !   42
      543785     0x0020     !   43
      557960     0x0010     !   44
      572220     0x0020     !   45
      586570     0x0010     !   46
      601015     0x0020     !   47
      615550     0x0010     !   48
      630175     0x0020     !   49
      644900     0x0010     !   50
      659725     0x0020     !   51
      674650     0x0010     !   52
      689675     0x0020     !   53
      704805     0x0010     !   54
      720040     0x0020     !   55
      735385     0x0010     !   56
      750845     0x0020     !   57
      766415     0x0010     !   58
      782100     0x0020     !   59
      797910     0x0010     !   60
      813835     0x0020     !   61
      829890     0x0010     !   62
      846070     0x0020     !   63
      862380     0x0010     !   64
      878825     0x0020     !   65
      895405     0x0010     !   66
      912130     0x0020     !   67
      928995     0x0010     !   68
      946010     0x0020     !   69
      963180     0x0010     !   70
      980500     0x0020     !   71
      997985     0x0010     !   72
     1015635     0x0020     !   73
     1033455     0x0010     !   74
     1051450     0x0020     !   75
     1069625     0x0010     !   76
     1087985     0x0020     !   77
     1106535     0x0010     !   78
     1125285     0x0020     !   79
     1144240     0x0010     !   80
     1163405     0x0020     !   81
     1182785     0x0010     !   82
     1202395     0x0020     !   83
     1222240     0x0010     !   84
     1242325     0x0020     !   85
     1262660     0x0010     !   86
     1283260     0x0020     !   87
     1304125     0x0010     !   88
     1325280     0x0020     !   89
     1346725     0x0010     !   90
     1368480     0x0020     !   91
     1390555     0x0010     !   92
     1412965     0x0020     !   93
     1435725     0x0010     !   94
     1458855     0x0020     !   95
     1482370     0x0010     !   96
     1506290     0x0020     !   97
     1530640     0x0010     !   98
     1555445     0x0020     !   99
     1580725     0x0010     !  100
     1606515     0x0020     !  101
     1632840     0x0010     !  102
     1659745     0x0020     !  103
     1687260     0x0010     !  104
     1715435     0x0020     !  105
     1744315     0x0010     !  106
     1773960     0x0020     !  107
     1804435     0x0010     !  108
     1835805     0x0020     !  109
     1868165     0x0010     !  110
     1901610     0x0020     !  111
     1936255     0x0010     !  112
     1972245     0x0020     !  113
     2009745     0x0010     !  114
     2048965     0x0020     !  115
     2090160     0x0010     !  116
     2133675     0x0020     !  117
     2179945     0x0010     !  118
     2229570     0x0020     !  119
     2283405     0x0010     !  120
     2342755     0x0020     !  121
     2409775     0x0010     !  122
     2488540     0x0000     !  123
     2605761     0x0000     !  124
#
#
# vx_i: 480.00 vx_f:  60.11 stages:123 phase:  72.13 mass:  17.00
