#
#
#
#
1010 0x0010 ! 
11345 0x0020 ! 1
23630 0x0010 ! 2
35965 0x0020 ! 3
48350 0x0010 ! 4
60790 0x0020 ! 5
73280 0x0010 ! 6
85820 0x0020 ! 7
98415 0x0010 ! 8
111065 0x0020 ! 9
123770 0x0010 ! 10
136530 0x0020 ! 11
149350 0x0010 ! 12
162220 0x0020 ! 13
175150 0x0010 ! 14
188140 0x0020 ! 15
201190 0x0010 ! 16
214300 0x0020 ! 17
227470 0x0010 ! 18
240700 0x0020 ! 19
253995 0x0010 ! 20
267355 0x0020 ! 21
280775 0x0010 ! 22
294265 0x0020 ! 23
307820 0x0010 ! 24
321440 0x0020 ! 25
335130 0x0010 ! 26
348890 0x0020 ! 27
362725 0x0010 ! 28
376625 0x0020 ! 29
390600 0x0010 ! 30
404650 0x0020 ! 31
418775 0x0010 ! 32
432975 0x0020 ! 33
447250 0x0010 ! 34
461610 0x0020 ! 35
476045 0x0010 ! 36
490565 0x0020 ! 37
505170 0x0010 ! 38
519855 0x0020 ! 39
534625 0x0010 ! 40
549485 0x0020 ! 41
564435 0x0010 ! 42
579475 0x0020 ! 43
594605 0x0010 ! 44
609830 0x0020 ! 45
625155 0x0010 ! 46
640570 0x0020 ! 47
656090 0x0010 ! 48
671710 0x0020 ! 49
687435 0x0010 ! 50
703265 0x0020 ! 51
719200 0x0010 ! 52
735245 0x0020 ! 53
751405 0x0010 ! 54
767680 0x0020 ! 55
784070 0x0010 ! 56
800580 0x0020 ! 57
817215 0x0010 ! 58
833970 0x0020 ! 59
850855 0x0010 ! 60
867875 0x0020 ! 61
885025 0x0010 ! 62
902315 0x0020 ! 63
919740 0x0010 ! 64
937315 0x0020 ! 65
955035 0x0010 ! 66
972905 0x0020 ! 67
990935 0x0010 ! 68
1009120 0x0020 ! 69
1027475 0x0010 ! 70
1045995 0x0020 ! 71
1064685 0x0010 ! 72
1083555 0x0020 ! 73
1102610 0x0010 ! 74
1121855 0x0020 ! 75
1141290 0x0010 ! 76
1160930 0x0020 ! 77
1180775 0x0010 ! 78
1200830 0x0020 ! 79
1221110 0x0010 ! 80
1241615 0x0020 ! 81
1262360 0x0010 ! 82
1283345 0x0020 ! 83
1304585 0x0010 ! 84
1326090 0x0020 ! 85
1347865 0x0010 ! 86
1369920 0x0020 ! 87
1392275 0x0010 ! 88
1414930 0x0020 ! 89
1437910 0x0010 ! 90
1461220 0x0020 ! 91
1484880 0x0010 ! 92
1508905 0x0020 ! 93
1533310 0x0010 ! 94
1558115 0x0020 ! 95
1583340 0x0010 ! 96
1609010 0x0020 ! 97
1635150 0x0010 ! 98
1661780 0x0020 ! 99
1688935 0x0010 ! 100
1716640 0x0020 ! 101
1744940 0x0010 ! 102
1773870 0x0020 ! 103
1803470 0x0010 ! 104
1833800 0x0020 ! 105
1864905 0x0010 ! 106
1896850 0x0020 ! 107
1929710 0x0010 ! 108
1963570 0x0020 ! 109
1998525 0x0010 ! 110
2034690 0x0020 ! 111
2072195 0x0010 ! 112
2111205 0x0020 ! 113
2151920 0x0010 ! 114
2194580 0x0020 ! 115
2239495 0x0010 ! 116
2287070 0x0020 ! 117
2337835 0x0010 ! 118
2392540 0x0020 ! 119
2452275 0x0010 ! 120
2518750 0x0020 ! 121
2594950 0x0010 ! 122
2687085 0x0000 ! 123
2939541 0x0000 ! 124
#
#
#
