# vx_i: 460.00 vx_f:   0.00 stages:123 phase:  64.73 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11300     0x0020     !    1
       23320     0x0010     !    2
       35385     0x0020     !    3
       47505     0x0010     !    4
       59670     0x0020     !    5
       71885     0x0010     !    6
       84155     0x0020     !    7
       96475     0x0010     !    8
      108845     0x0020     !    9
      121275     0x0010     !   10
      133755     0x0020     !   11
      146290     0x0010     !   12
      158880     0x0020     !   13
      171525     0x0010     !   14
      184230     0x0020     !   15
      196990     0x0010     !   16
      209810     0x0020     !   17
      222685     0x0010     !   18
      235625     0x0020     !   19
      248625     0x0010     !   20
      261685     0x0020     !   21
      274810     0x0010     !   22
      288000     0x0020     !   23
      301250     0x0010     !   24
      314570     0x0020     !   25
      327955     0x0010     !   26
      341405     0x0020     !   27
      354925     0x0010     !   28
      368515     0x0020     !   29
      382180     0x0010     !   30
      395910     0x0020     !   31
      409715     0x0010     !   32
      423595     0x0020     !   33
      437550     0x0010     !   34
      451585     0x0020     !   35
      465690     0x0010     !   36
      479880     0x0020     !   37
      494150     0x0010     !   38
      508500     0x0020     !   39
      522935     0x0010     !   40
      537455     0x0020     !   41
      552060     0x0010     !   42
      566755     0x0020     !   43
      581535     0x0010     !   44
      596410     0x0020     !   45
      611375     0x0010     !   46
      626435     0x0020     !   47
      641595     0x0010     !   48
      656850     0x0020     !   49
      672205     0x0010     !   50
      687665     0x0020     !   51
      703230     0x0010     !   52
      718895     0x0020     !   53
      734675     0x0010     !   54
      750565     0x0020     !   55
      766565     0x0010     !   56
      782680     0x0020     !   57
      798920     0x0010     !   58
      815275     0x0020     !   59
      831755     0x0010     !   60
      848365     0x0020     !   61
      865100     0x0010     !   62
      881970     0x0020     !   63
      898975     0x0010     !   64
      916120     0x0020     !   65
      933405     0x0010     !   66
      950840     0x0020     !   67
      968420     0x0010     !   68
      986160     0x0020     !   69
     1004055     0x0010     !   70
     1022110     0x0020     !   71
     1040335     0x0010     !   72
     1058730     0x0020     !   73
     1077305     0x0010     !   74
     1096055     0x0020     !   75
     1115000     0x0010     !   76
     1134130     0x0020     !   77
     1153465     0x0010     !   78
     1173000     0x0020     !   79
     1192750     0x0010     !   80
     1212720     0x0020     !   81
     1232915     0x0010     !   82
     1253345     0x0020     !   83
     1274015     0x0010     !   84
     1294940     0x0020     !   85
     1316125     0x0010     !   86
     1337575     0x0020     !   87
     1359315     0x0010     !   88
     1381340     0x0020     !   89
     1403675     0x0010     !   90
     1426325     0x0020     !   91
     1449310     0x0010     !   92
     1472640     0x0020     !   93
     1496335     0x0010     !   94
     1520410     0x0020     !   95
     1544885     0x0010     !   96
     1569780     0x0020     !   97
     1595115     0x0010     !   98
     1620920     0x0020     !   99
     1647220     0x0010     !  100
     1674040     0x0020     !  101
     1701420     0x0010     !  102
     1729390     0x0020     !  103
     1757995     0x0010     !  104
     1787275     0x0020     !  105
     1817285     0x0010     !  106
     1848075     0x0020     !  107
     1879720     0x0010     !  108
     1912290     0x0020     !  109
     1945870     0x0010     !  110
     1980560     0x0020     !  111
     2016480     0x0010     !  112
     2053770     0x0020     !  113
     2092605     0x0010     !  114
     2133185     0x0020     !  115
     2175770     0x0010     !  116
     2220700     0x0020     !  117
     2268405     0x0010     !  118
     2319470     0x0020     !  119
     2374730     0x0010     !  120
     2435430     0x0020     !  121
     2503580     0x0010     !  122
     2582885     0x0000     !  123
     2704107     0x0000     !  124
#
#
# vx_i: 460.00 vx_f:  59.99 stages:123 phase:  64.73 mass:  17.00
