# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  53.30 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11450     0x0020     !    1
       24610     0x0010     !    2
       37825     0x0020     !    3
       51095     0x0010     !    4
       64420     0x0020     !    5
       77795     0x0010     !    6
       91230     0x0020     !    7
      104720     0x0010     !    8
      118270     0x0020     !    9
      131875     0x0010     !   10
      145540     0x0020     !   11
      159265     0x0010     !   12
      173050     0x0020     !   13
      186900     0x0010     !   14
      200805     0x0020     !   15
      214780     0x0010     !   16
      228815     0x0020     !   17
      242915     0x0010     !   18
      257080     0x0020     !   19
      271310     0x0010     !   20
      285610     0x0020     !   21
      299975     0x0010     !   22
      314410     0x0020     !   23
      328920     0x0010     !   24
      343495     0x0020     !   25
      358145     0x0010     !   26
      372870     0x0020     !   27
      387670     0x0010     !   28
      402545     0x0020     !   29
      417495     0x0010     !   30
      432525     0x0020     !   31
      447635     0x0010     !   32
      462825     0x0020     !   33
      478095     0x0010     !   34
      493450     0x0020     !   35
      508890     0x0010     !   36
      524415     0x0020     !   37
      540030     0x0010     !   38
      555730     0x0020     !   39
      571525     0x0010     !   40
      587410     0x0020     !   41
      603390     0x0010     !   42
      619465     0x0020     !   43
      635635     0x0010     !   44
      651905     0x0020     !   45
      668275     0x0010     !   46
      684750     0x0020     !   47
      701330     0x0010     !   48
      718015     0x0020     !   49
      734810     0x0010     !   50
      751715     0x0020     !   51
      768735     0x0010     !   52
      785870     0x0020     !   53
      803125     0x0010     !   54
      820495     0x0020     !   55
      837990     0x0010     !   56
      855610     0x0020     !   57
      873360     0x0010     !   58
      891240     0x0020     !   59
      909255     0x0010     !   60
      927410     0x0020     !   61
      945700     0x0010     !   62
      964135     0x0020     !   63
      982720     0x0010     !   64
     1001455     0x0020     !   65
     1020340     0x0010     !   66
     1039390     0x0020     !   67
     1058595     0x0010     !   68
     1077975     0x0020     !   69
     1097520     0x0010     !   70
     1117240     0x0020     !   71
     1137145     0x0010     !   72
     1157230     0x0020     !   73
     1177510     0x0010     !   74
     1197985     0x0020     !   75
     1218660     0x0010     !   76
     1239550     0x0020     !   77
     1260645     0x0010     !   78
     1281970     0x0020     !   79
     1303520     0x0010     !   80
     1325305     0x0020     !   81
     1347335     0x0010     !   82
     1369615     0x0020     !   83
     1392160     0x0010     !   84
     1414975     0x0020     !   85
     1438070     0x0010     !   86
     1461455     0x0020     !   87
     1485145     0x0010     !   88
     1509145     0x0020     !   89
     1533475     0x0010     !   90
     1558150     0x0020     !   91
     1583175     0x0010     !   92
     1608575     0x0020     !   93
     1634365     0x0010     !   94
     1660560     0x0020     !   95
     1687185     0x0010     !   96
     1714255     0x0020     !   97
     1741800     0x0010     !   98
     1769845     0x0020     !   99
     1798415     0x0010     !  100
     1827540     0x0020     !  101
     1857255     0x0010     !  102
     1887600     0x0020     !  103
     1918615     0x0010     !  104
     1950350     0x0020     !  105
     1982850     0x0010     !  106
     2016175     0x0020     !  107
     2050395     0x0010     !  108
     2085585     0x0020     !  109
     2121835     0x0010     !  110
     2159240     0x0020     !  111
     2197925     0x0010     !  112
     2238025     0x0020     !  113
     2279715     0x0010     !  114
     2323190     0x0020     !  115
     2368715     0x0010     !  116
     2416600     0x0020     !  117
     2467255     0x0010     !  118
     2521235     0x0020     !  119
     2579285     0x0010     !  120
     2642500     0x0020     !  121
     2712570     0x0010     !  122
     2792370     0x0000     !  123
     2918170     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  60.58 stages:123 phase:  53.30 mass:  17.00
