# vx_i: 400.00 vx_f:   0.00 stages:123 phase:  48.39 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11595     0x0020     !    1
       25415     0x0010     !    2
       39290     0x0020     !    3
       53225     0x0010     !    4
       67210     0x0020     !    5
       81260     0x0010     !    6
       95365     0x0020     !    7
      109530     0x0010     !    8
      123755     0x0020     !    9
      138040     0x0010     !   10
      152385     0x0020     !   11
      166795     0x0010     !   12
      181270     0x0020     !   13
      195805     0x0010     !   14
      210410     0x0020     !   15
      225075     0x0010     !   16
      239810     0x0020     !   17
      254615     0x0010     !   18
      269485     0x0020     !   19
      284425     0x0010     !   20
      299435     0x0020     !   21
      314520     0x0010     !   22
      329675     0x0020     !   23
      344900     0x0010     !   24
      360205     0x0020     !   25
      375585     0x0010     !   26
      391040     0x0020     !   27
      406575     0x0010     !   28
      422190     0x0020     !   29
      437885     0x0010     !   30
      453660     0x0020     !   31
      469520     0x0010     !   32
      485465     0x0020     !   33
      501490     0x0010     !   34
      517610     0x0020     !   35
      533815     0x0010     !   36
      550110     0x0020     !   37
      566495     0x0010     !   38
      582980     0x0020     !   39
      599555     0x0010     !   40
      616225     0x0020     !   41
      632995     0x0010     !   42
      649865     0x0020     !   43
      666835     0x0010     !   44
      683910     0x0020     !   45
      701090     0x0010     !   46
      718380     0x0020     !   47
      735780     0x0010     !   48
      753290     0x0020     !   49
      770910     0x0010     !   50
      788650     0x0020     !   51
      806510     0x0010     !   52
      824485     0x0020     !   53
      842590     0x0010     !   54
      860815     0x0020     !   55
      879175     0x0010     !   56
      897660     0x0020     !   57
      916285     0x0010     !   58
      935040     0x0020     !   59
      953940     0x0010     !   60
      972985     0x0020     !   61
      992175     0x0010     !   62
     1011515     0x0020     !   63
     1031005     0x0010     !   64
     1050655     0x0020     !   65
     1070470     0x0010     !   66
     1090445     0x0020     !   67
     1110595     0x0010     !   68
     1130915     0x0020     !   69
     1151415     0x0010     !   70
     1172095     0x0020     !   71
     1192970     0x0010     !   72
     1214035     0x0020     !   73
     1235300     0x0010     !   74
     1256765     0x0020     !   75
     1278445     0x0010     !   76
     1300345     0x0020     !   77
     1322465     0x0010     !   78
     1344815     0x0020     !   79
     1367410     0x0010     !   80
     1390245     0x0020     !   81
     1413335     0x0010     !   82
     1436690     0x0020     !   83
     1460315     0x0010     !   84
     1484225     0x0020     !   85
     1508425     0x0010     !   86
     1532925     0x0020     !   87
     1557745     0x0010     !   88
     1582890     0x0020     !   89
     1608380     0x0010     !   90
     1634220     0x0020     !   91
     1660435     0x0010     !   92
     1687030     0x0020     !   93
     1714035     0x0010     !   94
     1741460     0x0020     !   95
     1769330     0x0010     !   96
     1797670     0x0020     !   97
     1826495     0x0010     !   98
     1855840     0x0020     !   99
     1885725     0x0010     !  100
     1916195     0x0020     !  101
     1947270     0x0010     !  102
     1979000     0x0020     !  103
     2011420     0x0010     !  104
     2044585     0x0020     !  105
     2078540     0x0010     !  106
     2113350     0x0020     !  107
     2149080     0x0010     !  108
     2185810     0x0020     !  109
     2223625     0x0010     !  110
     2262635     0x0020     !  111
     2302950     0x0010     !  112
     2344720     0x0020     !  113
     2388110     0x0010     !  114
     2433325     0x0020     !  115
     2480620     0x0010     !  116
     2530305     0x0020     !  117
     2582790     0x0010     !  118
     2638610     0x0020     !  119
     2698490     0x0010     !  120
     2763475     0x0020     !  121
     2835145     0x0010     !  122
     2916135     0x0000     !  123
     3045661     0x0000     !  124
#
#
# vx_i: 400.00 vx_f:  60.00 stages:123 phase:  48.39 mass:  17.00
